ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 8 = 5,x = 3,"When solving an equation, uses the same operation rather than the inverse.",x = 13,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 9a = 99,a = 10,"When solving an equation, uses the same operation rather than the inverse.",a = 11,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 11cm and height 5cm],16 sq cm,Adds when calculating area instead of multiplying,55 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.09m and height 5cm],29cm,Does not convert measurements to have the same units before calculating area or volume,31cm,877
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 20 as a percentage of 80?,4%,Does not understand a percentage is out of 100,25%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 40% as a decimal?,4,Does not understand a percentage is out of 100,0.4,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.85 rounded to one decimal place?,1.8,Rounds incorrectly by changing multiple place values,1.9,2330
Convert between cm and mm,Length Units,How many mm are there in 1.4cm?,1400mm,Divides when converting to a smaller unit,14mm,1954
Convert between m and km,Length Units,How many km are there in 750m?,7.5km,Multiplies when converting to a larger unit,0.75km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/8 - 1/4?,4/4,"When subtracting fractions, subtracts the numerators and denominators",3/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x + 8 = 15,x = 23,"When solving an equation, uses the same operation rather than the inverse.",x = 7,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 7a = 49,a = 6,"When solving an equation, uses the same operation rather than the inverse.",a = 7,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.07m and height 9cm],6.3 sq cm,Does not convert measurements to have the same units before calculating area or volume,63 sq cm,877
Calculate the perimeter of a rectangle where the dimensions are given in the same units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 6cm and height 11cm],17cm,"When calculating perimeter, only adds two sides",34cm,1446
Express one quantity as a percentage of another mentally,Percentages of an Amount,What is 10 as a percentage of 50?,2%,Does not understand a percentage is out of 100,20%,329
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 4% as a decimal?,4,Does not understand a percentage is out of 100,0.04,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 8.76 rounded to one decimal place?,8.7,Rounds incorrectly by changing multiple place values,8.8,2330
Convert between cm and mm,Length Units,How many mm are there in 1.4cm?,140mm,Divides when converting to a smaller unit,14mm,1954
Convert between m and km,Length Units,How many km are there in 950m?,9.5km,Multiplies when converting to a larger unit,0.95km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 5/6 - 1/3?,4/3,"When subtracting fractions, subtracts the numerators and denominators",3/6,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 7 = 11,x = 4,"When solving an equation, uses the same operation rather than the inverse.",x = 18,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 6b = 36,b = 5,"When solving an equation, uses the same operation rather than the inverse.",b = 6,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 12cm and height 7cm],19 sq cm,Adds when calculating area instead of multiplying,84 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.09m and height 5cm],29cm,Does not convert measurements to have the same units before calculating area or volume,31cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 3% as a decimal?,3,Does not understand a percentage is out of 100,0.03,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 1.87 rounded to one decimal place?,1.87,Believes that rounding must change the number,1.9,322
Convert between cm and mm,Length Units,How many mm are there in 2.1cm?,210mm,Divides when converting to a smaller unit,21mm,1954
Convert between m and km,Length Units,How many km are there in 1350m?,13.5km,Multiplies when converting to a larger unit,1.35km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/10 - 3/5?,4/5,"When subtracting fractions, subtracts the numerators and denominators",1/10,172
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 9a = 108,a = 11,"When solving an equation, uses the same operation rather than the inverse.",a = 12,1214
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 10cm and height 7cm],17 sq cm,Adds when calculating area instead of multiplying,70 sq cm,828
Calculate the perimeter of a rectangle where the dimensions are given in different units,Perimeter,What is the perimeter of this rectangle? ![Rectangle with width 0.09m and height 7cm],23cm,Does not convert measurements to have the same units before calculating area or volume,32cm,877
Convert two-digit integer percentages to decimals,Converting between Decimals and Percentages,What is 75% as a decimal?,7.5,Does not understand a percentage is out of 100,0.75,329
Round decimals to one decimal place,Rounding to Decimal Places,What is 2.35 rounded to one decimal place?,2.3,Rounds incorrectly by changing multiple place values,2.4,2330
Convert between cm and mm,Length Units,How many mm are there in 3.1cm?,310mm,Divides when converting to a smaller unit,31mm,1954
Convert between m and km,Length Units,How many km are there in 1350m?,13.5km,Multiplies when converting to a larger unit,1.35km,1651
Subtract proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,What is 7/8 - 1/4?,6/4,"When subtracting fractions, subtracts the numerators and denominators",5/8,172
"Solve one-step linear equations requiring addition or subtraction, involving positive integers",Linear Equations,Solve the equation: x - 4 = 11,x = 7,"When solving an equation, uses the same operation rather than the inverse.",x = 15,1214
"Solve one-step linear equations requiring multiplication or division, involving positive integers",Linear Equations,Solve the equation: 12y = 96,y = 7,"When solving an equation, uses the same operation rather than the inverse.",y = 8,1214
Calculate the area of a rectangle where the dimensions are given in different units,Area of Simple Shapes,What is the area of this rectangle? ![Rectangle with width 0.06m and height 11cm],6.6 sq cm,Does not convert measurements to have the same units before calculating area or volume,66 sq cm,877
